date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:42	5413/5413	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Nov%202025%2014:23:28%20GMT	https://mv-777.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/mv-777.com/index.html	(from )
00:59:42	586/586	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202026%2021:59:46%20GMT	https://777taka.net/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/777taka.net/index.html	(from )
00:59:42	5523/5523	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Nov%202025%2020:46:46%20GMT	https://amazon-casino.net/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/amazon-casino.net/index.html	(from )
00:59:42	1608/1608	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20May%202025%2012:50:44%20GMT	https://ibet.biz/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/ibet.biz/index.html	(from )
00:59:42	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%226977258f-7918%22	https://477bdt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/477bdt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://477bdt.com/)
00:59:43	3995/3995	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Oct%202025%2019:05:42%20GMT	https://loco777.org/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/loco777.org/index.html	(from )
00:59:44	14161/14161	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jan%202026%2020:06:56%20GMT	https://aviatorjlbd.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/aviatorjlbd.com/index.html	(from )
00:59:45	34677/34677	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2008:10:36%20GMT	https://tk-222.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/tk-222.com/index.html	(from )
00:59:45	39033/39033	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Oct%202025%2020:00:21%20GMT	https://bdt234bet.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/bdt234bet.com/index.html	(from )
00:59:45	237102/237102	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269772583-39e2e%22	https://477bdt.com/assets/main-Z6WGistr.js	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/477bdt.com/assets/main-Z6WGistr.js	(from https://477bdt.com/)
00:59:46	1826/1826	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202026%2021:59:50%20GMT	https://bdtk3.net/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/bdtk3.net/index.html	(from )
00:59:46	21135/21135	---MCZ	200	added ('OK')	text/css	etag:W/%2269772582-528f%22	https://477bdt.com/assets/main-B0U6_-8l.css	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/477bdt.com/assets/main-B0U6_-8l.css	(from https://477bdt.com/)
00:59:46	1012/1012	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2019:00:17%20GMT	https://hhbd.bet/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/hhbd.bet/index.html	(from )
00:59:46	33454/33454	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2008:10:36%20GMT	https://ek-222.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/ek-222.com/index.html	(from )
00:59:46	80/80	---MCZ	200	added ('OK')	text/plain	etag:W/%226979b49c-40%22	https://4777det.com/robots.txt		(from )
00:59:47	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%226979b472-7918%22	https://4777det.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/4777det.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://4777det.com/)
00:59:47	237916/237916	---MCZ	200	added ('OK')	application/javascript	etag:W/%226979b467-3a15c%22	https://4777det.com/assets/main-BwHQkKqS.js	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/4777det.com/assets/main-BwHQkKqS.js	(from https://4777det.com/)
00:59:48	21134/21134	---MCZ	200	added ('OK')	text/css	etag:W/%226979b468-528e%22	https://4777det.com/assets/main-DtvLl8FG.css	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/4777det.com/assets/main-DtvLl8FG.css	(from https://4777det.com/)
00:59:48	78/78	---MCZ	200	added ('OK')	text/plain	etag:W/%22697b0a27-3e%22	https://tbaji.org/robots.txt		(from )
00:59:48	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22697b09fd-7918%22	https://tbaji.org/fonts/font-awesome-4.7.0/css/font-awesome.min.css	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/tbaji.org/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://tbaji.org/)
00:59:48	237349/237349	---MCZ	200	added ('OK')	application/javascript	etag:W/%22697b09f1-39f25%22	https://tbaji.org/assets/main-BHS7u-BP.js	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/tbaji.org/assets/main-BHS7u-BP.js	(from https://tbaji.org/)
